ID,star_rating,helpful_votes,total_votes,calc,cacl,vine,verified_purchase
R2COLQHA4B4VPE,5,14,20,0.7,TRUE,N,N
R2E22XLTM9L8YS,5,16,20,0.8,TRUE,N,Y
R2E4VF3VKLI0WW,5,13,20,0.65,TRUE,N,N
R2G8UKUJZEL4EB,5,19,20,0.95,TRUE,N,Y
R2GDDXY8NGW2DU,5,15,20,0.75,TRUE,N,Y
R2H1MQ43UZ7PAV,5,17,20,0.85,TRUE,N,N
R2I1BKDBLN91QG,5,14,20,0.7,TRUE,N,Y
R2J9KE2NONGC9P,5,16,20,0.8,TRUE,N,N
R2KVWYXY8KDQ0X,5,20,20,1,TRUE,N,N
R2LJWXO4TZH0EF,5,13,20,0.65,TRUE,N,Y
R2MBQ8VE8FFWD6,5,18,20,0.9,TRUE,N,Y
R2OT6VTJP6HUI9,5,11,20,0.55,TRUE,N,Y
R2OTPJ9ZJGVG0A,5,18,20,0.9,TRUE,N,N
R2R2RNJ5DONCYV,5,16,20,0.8,TRUE,N,Y
R2R3ZKVYL9T7R4,5,19,20,0.95,TRUE,N,Y
R2RO1EQD896YZY,5,16,20,0.8,TRUE,N,N
R2WAXOY6YPLSKM,5,17,20,0.85,TRUE,N,N
R2WV9HJ0HGDTPL,5,15,20,0.75,TRUE,N,Y
R2XGH1HXZD8QCA,5,13,20,0.65,TRUE,N,Y
R30NFTKJFKHP67,5,20,20,1,TRUE,N,Y
R31QVLC30WIIQ1,5,13,20,0.65,TRUE,N,N
R321TTEF3P1OXX,5,16,20,0.8,TRUE,N,Y
R334F74XA9VPFM,5,17,20,0.85,TRUE,N,N
R36AAGCZZU0GCW,5,12,20,0.6,TRUE,N,Y
R37FSYY8AKIWKQ,5,20,20,1,TRUE,N,Y
R37QTHFLHRK3F6,5,17,20,0.85,TRUE,N,Y
R391GFHEV2D444,5,16,20,0.8,TRUE,N,N
R3969A906N2VKL,5,16,20,0.8,TRUE,N,Y
R3APP1KKSX5FF4,5,13,20,0.65,TRUE,N,Y
R3AQOIHNED5JM8,5,13,20,0.65,TRUE,N,Y
R3BE33MBV7GY1I,5,14,20,0.7,TRUE,N,Y
R3CSFCB0HTWQ0Q,5,20,20,1,TRUE,N,Y
R3DK195MCQZLPQ,5,17,20,0.85,TRUE,N,N
R3EFSRSNKXSJD3,5,16,20,0.8,TRUE,N,Y
R3F6CIN4Z0GZPU,5,15,20,0.75,TRUE,N,Y
R3HRPP216NFD17,5,18,20,0.9,TRUE,N,Y
R3IF4FUOG70C39,5,11,20,0.55,TRUE,N,Y
R3KQDMF9A9D3P6,5,15,20,0.75,TRUE,N,Y
R3KRP17PVAUOL5,5,20,20,1,TRUE,N,Y
R3MIJX2G5YGEMS,5,13,20,0.65,TRUE,N,N
R3NOC5QAJOM6Y7,5,14,20,0.7,TRUE,N,Y
R3OUJOQZUWJJSW,5,13,20,0.65,TRUE,N,N
R3P99L30A8SEFU,5,20,20,1,TRUE,N,N
R3QX891AAMRDG6,5,17,20,0.85,TRUE,N,Y
R3SC6LG5EPSMBF,5,19,20,0.95,TRUE,N,N
R3V1MO99BEEVSJ,5,18,20,0.9,TRUE,N,Y
R60GI4Z1CNGGV,5,17,20,0.85,TRUE,N,Y
R6R7U1CWQS8QM,5,18,20,0.9,TRUE,N,Y
R82VC1MJW2OIR,5,16,20,0.8,TRUE,N,Y
R91TJWE2216N7,5,14,20,0.7,TRUE,N,Y
REXVAP2S61G2,5,20,20,1,TRUE,N,N
RGIC0QH1F9USZ,5,13,20,0.65,TRUE,N,N
RGLX15HKVYG9,5,13,20,0.65,TRUE,N,Y
RGRWBNVWBXPG7,5,13,20,0.65,TRUE,N,Y
RI6SVBSZGFBC8,5,16,20,0.8,TRUE,N,Y
RKBZDMTJCHH3A,5,13,20,0.65,TRUE,N,Y
RM2S2LSZO3HGW,5,17,20,0.85,TRUE,N,Y
RMROTUK0Q2KXF,5,19,20,0.95,TRUE,N,Y
ROO3V1P3OS51U,5,14,20,0.7,TRUE,N,N
RPKH69DXI53GH,5,19,20,0.95,TRUE,N,Y
RR6BANKIT93C4,5,13,20,0.65,TRUE,N,Y
RRNXV7JILL0OX,5,19,20,0.95,TRUE,N,Y
RRXIE9D388GYA,5,16,20,0.8,TRUE,N,N
RU3JYWN9QZUSR,5,16,20,0.8,TRUE,N,N
RUKOSFJRR8MNO,5,19,20,0.95,TRUE,N,N
RYSWF4WKS4LGY,5,18,20,0.9,TRUE,N,Y
RZ12P3V4PH1F9,5,16,20,0.8,TRUE,N,N
R369DSVA6AH6SB,5,16,21,0.761904762,TRUE,Y,N
R10C68AG9LIRZ6,5,18,21,0.857142857,TRUE,N,Y
R10F42HN658DQV,5,19,21,0.904761905,TRUE,N,Y
R11XR67RFV2HWB,5,19,21,0.904761905,TRUE,N,Y
R1BH8F8LJT5WFZ,5,15,21,0.714285714,TRUE,N,Y
R1DE8F2RAGY3YQ,5,12,21,0.571428571,TRUE,N,N
R1EJVIU6NWH87,5,16,21,0.761904762,TRUE,N,Y
R1FXBZS4NS5VTX,5,20,21,0.952380952,TRUE,N,Y
R1HZI7LFAH52B6,5,15,21,0.714285714,TRUE,N,Y
R1J20JVHD85EY8,5,18,21,0.857142857,TRUE,N,N
R1JOLM4OHY2P7C,5,12,21,0.571428571,TRUE,N,Y
R1M3DPGYFYOQZ7,5,13,21,0.619047619,TRUE,N,Y
R1M5LBD0U6SCAZ,5,12,21,0.571428571,TRUE,N,N
R1P1VMU376YTZW,5,15,21,0.714285714,TRUE,N,N
R1R6775H6S11J2,5,20,21,0.952380952,TRUE,N,Y
R1R8ZPCL79YPA7,5,16,21,0.761904762,TRUE,N,N
R1STAD9ZYFXSC8,5,12,21,0.571428571,TRUE,N,N
R1XDD1JBV94VKW,5,19,21,0.904761905,TRUE,N,N
R1XNR11IP3X0MO,5,15,21,0.714285714,TRUE,N,N
R1XPZL9O276SK2,5,17,21,0.80952381,TRUE,N,N
R1YI3NPB83T6TK,5,21,21,1,TRUE,N,Y
R2072R4O16CNHZ,5,20,21,0.952380952,TRUE,N,N
R20F7TIETY8CCY,5,15,21,0.714285714,TRUE,N,Y
R22QCGA79H2LSO,5,18,21,0.857142857,TRUE,N,N
R23FADHS5V2H6R,5,20,21,0.952380952,TRUE,N,Y
R23O151KRRGF6O,5,19,21,0.904761905,TRUE,N,Y
R24ECR9TMD903Y,5,21,21,1,TRUE,N,Y
R24XD0F9U6PRVK,5,14,21,0.666666667,TRUE,N,N
R251SW25906SK3,5,19,21,0.904761905,TRUE,N,Y
R278IMQEZCJGJ3,5,20,21,0.952380952,TRUE,N,Y
R27K8ORKIW1JU3,5,12,21,0.571428571,TRUE,N,N
R27KMVS7Q6DK02,5,15,21,0.714285714,TRUE,N,Y
R28UTVMN4DUODL,5,13,21,0.619047619,TRUE,N,N
R2BN5IHWCWDWU7,5,15,21,0.714285714,TRUE,N,Y
R2CAZ3PBCSOTW6,5,20,21,0.952380952,TRUE,N,Y
R2CEV0KK915ASQ,5,16,21,0.761904762,TRUE,N,Y
R2FT2I39P65CR7,5,15,21,0.714285714,TRUE,N,Y
R2J6SM1B7EQRC0,5,13,21,0.619047619,TRUE,N,Y
R2KTAW6FJ49L6L,5,19,21,0.904761905,TRUE,N,N
R2NGWSVWDFYI0A,5,12,21,0.571428571,TRUE,N,Y
R2NMSQCTTT4J9I,5,12,21,0.571428571,TRUE,N,Y
R2NY337SAY15W,5,13,21,0.619047619,TRUE,N,Y
R2PMWNEIW137JZ,5,20,21,0.952380952,TRUE,N,Y
R2SGHUC68RRCRZ,5,21,21,1,TRUE,N,N
R2T8PMKSF7IMA9,5,13,21,0.619047619,TRUE,N,Y
R2VMGKCQLEHJLI,5,15,21,0.714285714,TRUE,N,Y
R2WHCNBV4AM13K,5,15,21,0.714285714,TRUE,N,N
R2XMOVX1I8ZNR5,5,17,21,0.80952381,TRUE,N,Y
R2Y0GNBHZ0JYUT,5,15,21,0.714285714,TRUE,N,Y
R33SPMOMQ1R6W3,5,20,21,0.952380952,TRUE,N,N
R35S7J4ZGXNLPG,5,13,21,0.619047619,TRUE,N,N
R36Q85IM0F1Z9M,5,21,21,1,TRUE,N,Y
R396GUGMLMEY26,5,13,21,0.619047619,TRUE,N,Y
R39TVTECZ1BDMZ,5,21,21,1,TRUE,N,N
R3CTV1XRA2K5IN,5,18,21,0.857142857,TRUE,N,Y
R3D4C75KL6JQO8,5,13,21,0.619047619,TRUE,N,N
R3G5KVBZV4VJ9K,5,16,21,0.761904762,TRUE,N,Y
R3GQRNNMWPN2D4,5,13,21,0.619047619,TRUE,N,Y
R3HA7WPWKGI1C7,5,20,21,0.952380952,TRUE,N,Y
R3HBXJIG4KJR9R,5,12,21,0.571428571,TRUE,N,Y
R3K26M246B1DBK,5,21,21,1,TRUE,N,Y
R3N036QNS8VYB5,5,14,21,0.666666667,TRUE,N,N
R3NI9LQIG9SD1K,5,14,21,0.666666667,TRUE,N,N
R3OAP0UY22JYF2,5,18,21,0.857142857,TRUE,N,Y
R3OB0VF7NM6VC6,5,21,21,1,TRUE,N,Y
R3OHWE7CUHQJ1Y,5,15,21,0.714285714,TRUE,N,N
R3OP6BW71136UZ,5,18,21,0.857142857,TRUE,N,Y
R3QSRD4QYSBHI0,5,15,21,0.714285714,TRUE,N,N
R3RDYPR73FJKOL,5,19,21,0.904761905,TRUE,N,N
R3SJAQ0B336YKZ,5,21,21,1,TRUE,N,Y
R3UN750RZLML8M,5,19,21,0.904761905,TRUE,N,Y
R3UTUNGXDF7S66,5,15,21,0.714285714,TRUE,N,Y
R5N412YQ4IUR8,5,15,21,0.714285714,TRUE,N,Y
R5VG88G078D4U,5,16,21,0.761904762,TRUE,N,N
R61DQ6XXP3U10,5,17,21,0.80952381,TRUE,N,N
R8PY70PU2CLRD,5,15,21,0.714285714,TRUE,N,N
R9PRFGSSNCDPO,5,15,21,0.714285714,TRUE,N,Y
RAOYBBN9GM4SL,5,12,21,0.571428571,TRUE,N,N
RAW4LJPA1K6HW,5,16,21,0.761904762,TRUE,N,Y
RBQOPRJ5VFXOB,5,20,21,0.952380952,TRUE,N,N
RBZKUAIA1EZZR,5,15,21,0.714285714,TRUE,N,N
RE9UE51MYFCTG,5,19,21,0.904761905,TRUE,N,N
RFSK5N53D891E,5,20,21,0.952380952,TRUE,N,Y
RIDAXFGL2W209,5,15,21,0.714285714,TRUE,N,Y
RJQ1WUC91IVFE,5,17,21,0.80952381,TRUE,N,N
RKMD4UK0PMEP4,5,16,21,0.761904762,TRUE,N,N
RKNUTWZI7E6IP,5,21,21,1,TRUE,N,Y
RMKQGOIL3JB0A,5,20,21,0.952380952,TRUE,N,Y
RMP1SR9UCTFCI,5,20,21,0.952380952,TRUE,N,N
RNBN85HB6J2YP,5,14,21,0.666666667,TRUE,N,N
ROQ7SNJ9G8T54,5,18,21,0.857142857,TRUE,N,Y
RTSKITE733E6W,5,21,21,1,TRUE,N,N
RU9ZJ4T6SUZ7U,5,15,21,0.714285714,TRUE,N,Y
RV8ERCUPZB3S3,5,19,21,0.904761905,TRUE,N,Y
RWH8W1QY64QQT,5,21,21,1,TRUE,N,N
RX3X69L84VA3Q,5,16,21,0.761904762,TRUE,N,Y
RX70H4GVA472X,5,20,21,0.952380952,TRUE,N,Y
R10IUMNQ6QTFJS,5,21,22,0.954545455,TRUE,N,Y
R10YU2116US01,5,16,22,0.727272727,TRUE,N,N
R12H64V04TTQTS,5,21,22,0.954545455,TRUE,N,Y
R131Q752D7CIZG,5,21,22,0.954545455,TRUE,N,Y
R15Z24UE8E569P,5,16,22,0.727272727,TRUE,N,N
R1BZDY9ZW5W1MY,5,13,22,0.590909091,TRUE,N,Y
R1CKB41D1L9E41,5,22,22,1,TRUE,N,Y
R1EXK40UQE7UFT,5,20,22,0.909090909,TRUE,N,N
R1H144C714U35F,5,13,22,0.590909091,TRUE,N,N
R1I42I1XEHRAAG,5,15,22,0.681818182,TRUE,N,N
R1JIMQ4ZJWKCTN,5,22,22,1,TRUE,N,Y
R1KN7U1F6LS06A,5,16,22,0.727272727,TRUE,N,N
R1KNYWB3BESHK2,5,16,22,0.727272727,TRUE,N,Y
R1MBL08NRZNLQ4,5,20,22,0.909090909,TRUE,N,N
R1MCZ1FUEB0ZBJ,5,17,22,0.772727273,TRUE,N,N
R1P47FTMGR80TP,5,21,22,0.954545455,TRUE,N,N
R1PA3B5LZZNGFJ,5,14,22,0.636363636,TRUE,N,Y
R1SI3FLA9ECR33,5,16,22,0.727272727,TRUE,N,Y
R1U8SVVGBV1FUZ,5,15,22,0.681818182,TRUE,N,N
R1UCNKERZY3X8A,5,18,22,0.818181818,TRUE,N,Y
R1W31U6W0RPCGX,5,19,22,0.863636364,TRUE,N,Y
R22DDJ3XDXLL2Z,5,22,22,1,TRUE,N,Y
R24PG7TZ6EXCO5,5,20,22,0.909090909,TRUE,N,Y
R24YG6BZ4QWWRK,5,22,22,1,TRUE,N,Y
R2602VMOBQBCSF,5,22,22,1,TRUE,N,Y
R292LTPBBW02IH,5,20,22,0.909090909,TRUE,N,Y
R29EUAWX6O0QVP,5,16,22,0.727272727,TRUE,N,N
R2AS5OZU9WRXPH,5,17,22,0.772727273,TRUE,N,Y
R2DJWFE9Q28DPA,5,15,22,0.681818182,TRUE,N,N
R2IMHGGDWPOETL,5,17,22,0.772727273,TRUE,N,N
R2IW8VQS1UYZ1,5,21,22,0.954545455,TRUE,N,N
R2JD57SOGOYSUL,5,14,22,0.636363636,TRUE,N,Y
R2JI0L4H7IS011,5,22,22,1,TRUE,N,Y
R2KVLOLZFKTIYH,5,22,22,1,TRUE,N,Y
R2OASZ9RIJB5IU,5,18,22,0.818181818,TRUE,N,Y
R2P23ROXKE3XMV,5,17,22,0.772727273,TRUE,N,Y
R2R9SRB1G95ACY,5,14,22,0.636363636,TRUE,N,Y
R2RIDRX06JKFCN,5,18,22,0.818181818,TRUE,N,N
R2XE9TXHMWA6G0,5,19,22,0.863636364,TRUE,N,Y
R2XSLNFRSOQZEE,5,18,22,0.818181818,TRUE,N,Y
R2YH0RECA5EY8J,5,22,22,1,TRUE,N,Y
R2YZ8NMY53ZVYE,5,18,22,0.818181818,TRUE,N,Y
R2ZV114VEWCURS,5,13,22,0.590909091,TRUE,N,N
R2ZZ9HKART6O2M,5,22,22,1,TRUE,N,Y
R31KXOZELABURT,5,21,22,0.954545455,TRUE,N,Y
R33J7JOUSDQLPR,5,19,22,0.863636364,TRUE,N,Y
R354T9WJIRJY69,5,15,22,0.681818182,TRUE,N,N
R36BPLEJ7NEIGU,5,16,22,0.727272727,TRUE,N,N
R38EVNXO73AUGO,5,21,22,0.954545455,TRUE,N,Y
R3AVJLR409U4KR,5,21,22,0.954545455,TRUE,N,N
R3AY8WQPAYYY3S,5,22,22,1,TRUE,N,Y
R3BAVHUG50DC31,5,20,22,0.909090909,TRUE,N,Y
R3CALSUKGL2223,5,21,22,0.954545455,TRUE,N,Y
R3DV7LAVHC8Q3T,5,20,22,0.909090909,TRUE,N,N
R3H2LUDTGZ9VLC,5,19,22,0.863636364,TRUE,N,N
R3JPBWJO8F6O1J,5,17,22,0.772727273,TRUE,N,Y
R3JVVTIY2FSWWS,5,21,22,0.954545455,TRUE,N,Y
R3LCMF6LNMKF1Z,5,17,22,0.772727273,TRUE,N,Y
R3O7M0KQA4FUY8,5,13,22,0.590909091,TRUE,N,N
R3O88KY0KA8Z3L,5,14,22,0.636363636,TRUE,N,Y
R3OUYDLMS8DPQZ,5,22,22,1,TRUE,N,Y
R3QBMU2ETH1Z5H,5,15,22,0.681818182,TRUE,N,Y
R3RWSLCI1MSMWT,5,14,22,0.636363636,TRUE,N,Y
R3THTEYH0JBDL,5,20,22,0.909090909,TRUE,N,Y
R3TNO7MEOPVO7W,5,12,22,0.545454545,TRUE,N,N
R3V2PORL90VQPH,5,19,22,0.863636364,TRUE,N,N
R41YZEVKEHQCQ,5,20,22,0.909090909,TRUE,N,N
R5NS0CKO0H6OH,5,21,22,0.954545455,TRUE,N,Y
R6EGJ6NJ303IN,5,14,22,0.636363636,TRUE,N,Y
R71P1Y5YT1J7K,5,22,22,1,TRUE,N,Y
R7GXERPW23GYF,5,13,22,0.590909091,TRUE,N,N
R9BFT2LICCMEI,5,15,22,0.681818182,TRUE,N,N
RA6MYACIO3OS0,5,15,22,0.681818182,TRUE,N,N
RB9WL2J18QDDZ,5,15,22,0.681818182,TRUE,N,N
RBEOIND341K7M,5,12,22,0.545454545,TRUE,N,N
RDPRL0J0Q0WRQ,5,21,22,0.954545455,TRUE,N,N
RE56Z7TTACCER,5,21,22,0.954545455,TRUE,N,Y
RHMM4GCDLRDTU,5,18,22,0.818181818,TRUE,N,N
RM3WF5BGBFKC9,5,20,22,0.909090909,TRUE,N,Y
RN153Y58OXA2W,5,19,22,0.863636364,TRUE,N,N
RP6IO9TH4RBIY,5,15,22,0.681818182,TRUE,N,Y
RQK6MFCO885DC,5,21,22,0.954545455,TRUE,N,Y
RQV4RJYN69S4R,5,21,22,0.954545455,TRUE,N,N
RT4UHZP1GPNXE,5,14,22,0.636363636,TRUE,N,Y
RVEERC1A9PWNT,5,21,22,0.954545455,TRUE,N,Y
RWGI19KF4WRN,5,14,22,0.636363636,TRUE,N,N
RZUBDEPOVFYTG,5,15,22,0.681818182,TRUE,N,N
RKKMH184GEHKD,5,19,23,0.826086957,TRUE,Y,N
R15ZIWTA05P2RF,5,22,23,0.956521739,TRUE,N,Y
R18V43ZIZA3KQZ,5,18,23,0.782608696,TRUE,N,Y
R1EAS77ZEAPQWD,5,21,23,0.913043478,TRUE,N,Y
R1H7HNZDJ3AOOA,5,19,23,0.826086957,TRUE,N,Y
R1IAV5B7SUJDG5,5,16,23,0.695652174,TRUE,N,N
R1OWCZ9JZ9XIML,5,19,23,0.826086957,TRUE,N,Y
R1PCLRK3ZIXIG9,5,17,23,0.739130435,TRUE,N,N
R1PQ42NGOZTECZ,5,13,23,0.565217391,TRUE,N,N
R1REDJ2WLMEM35,5,14,23,0.608695652,TRUE,N,N
R1Z0CDZRBJEKR7,5,19,23,0.826086957,TRUE,N,Y
R2335URTCIBAP3,5,19,23,0.826086957,TRUE,N,Y
R28AL6Q89NHCFT,5,19,23,0.826086957,TRUE,N,N
R28ML9NBIPO8SF,5,23,23,1,TRUE,N,Y
R2C31J33OLZNA,5,21,23,0.913043478,TRUE,N,N
R2C6GWOXDSLPUJ,5,23,23,1,TRUE,N,N
R2CJPOQ8U6CT8M,5,15,23,0.652173913,TRUE,N,Y
R2EMJ02G6W6IF5,5,20,23,0.869565217,TRUE,N,Y
R2GVS28LD7AE89,5,13,23,0.565217391,TRUE,N,N
R2HMHHE42G6UK9,5,20,23,0.869565217,TRUE,N,N
R2I2VV281ZAQRY,5,21,23,0.913043478,TRUE,N,Y
R2KQHNRYB05ZKG,5,18,23,0.782608696,TRUE,N,N
R2LSWA2EM4IQCU,5,15,23,0.652173913,TRUE,N,Y
R2M1Y4I23PA1PE,5,18,23,0.782608696,TRUE,N,Y
R2NP6NV7LU3TDI,5,17,23,0.739130435,TRUE,N,Y
R2ORH13CMYDTWG,5,23,23,1,TRUE,N,Y
R2QG4I8DWP5TTG,5,15,23,0.652173913,TRUE,N,N
R2QNG3NK0KFYTA,5,12,23,0.52173913,TRUE,N,N
R2QQTMD8QLDV4Q,5,15,23,0.652173913,TRUE,N,Y
R2QYJ7E2CG3GLS,5,14,23,0.608695652,TRUE,N,Y
R2RANP5MV5JJT3,5,15,23,0.652173913,TRUE,N,Y
R2UJ0E59HNK1KQ,5,12,23,0.52173913,TRUE,N,N
R2WEDECBIM68I4,5,21,23,0.913043478,TRUE,N,Y
R300S1RGBEGKXI,5,20,23,0.869565217,TRUE,N,Y
R312EFMGZ7ZFC6,5,16,23,0.695652174,TRUE,N,N
R32ZPLDSW0CYRM,5,15,23,0.652173913,TRUE,N,Y
R33FRDYKTO5MYC,5,20,23,0.869565217,TRUE,N,N
R34RN6GW0UEJZC,5,14,23,0.608695652,TRUE,N,N
R357L1QFNO5R4F,5,12,23,0.52173913,TRUE,N,N
R39UPDNM5TECB5,5,23,23,1,TRUE,N,N
R3A08OU3B7VDJD,5,22,23,0.956521739,TRUE,N,N
R3BC36VONSEQDZ,5,15,23,0.652173913,TRUE,N,N
R3BNS95CNAVCVQ,5,13,23,0.565217391,TRUE,N,N
R3C4Z6C1KLZDDC,5,19,23,0.826086957,TRUE,N,N
R3CL4GUMNMGCUO,5,14,23,0.608695652,TRUE,N,Y
R3FI09KNZ4UB2Z,5,13,23,0.565217391,TRUE,N,N
R3FRG9PN2C5P8B,5,16,23,0.695652174,TRUE,N,Y
R3HZ0AZ6DCBATK,5,14,23,0.608695652,TRUE,N,Y
R3JUJ4PLRD5UHH,5,21,23,0.913043478,TRUE,N,Y
R3K30GODW51QK0,5,23,23,1,TRUE,N,Y
R3KPXRPH0QXGLC,5,15,23,0.652173913,TRUE,N,N
R3KYV5H51KDU2G,5,14,23,0.608695652,TRUE,N,Y
R3Q5ZJRBFZXZEM,5,14,23,0.608695652,TRUE,N,N
R3RVSRD5J8V582,5,22,23,0.956521739,TRUE,N,N
R3RY2C3PZMO9S9,5,23,23,1,TRUE,N,Y
R5TKYZMIPQLWO,5,13,23,0.565217391,TRUE,N,N
R70NTPO7CFO62,5,19,23,0.826086957,TRUE,N,N
R99Q3JHWDPXIW,5,14,23,0.608695652,TRUE,N,Y
R9QJPS3AX1EQE,5,15,23,0.652173913,TRUE,N,Y
RB8ZEH5PIPTQS,5,13,23,0.565217391,TRUE,N,N
RBHY35ACDE4BE,5,19,23,0.826086957,TRUE,N,Y
RE2TGGIMFZ9XB,5,21,23,0.913043478,TRUE,N,N
RECM3PEK5RHM5,5,16,23,0.695652174,TRUE,N,Y
RH7LWPMQDG674,5,17,23,0.739130435,TRUE,N,N
RI54OQP84RAKC,5,19,23,0.826086957,TRUE,N,Y
RI6ICCCF1AVKL,5,16,23,0.695652174,TRUE,N,N
RJEWEQ5PT2UKH,5,22,23,0.956521739,TRUE,N,Y
RKX5G4SC4OCF3,5,20,23,0.869565217,TRUE,N,N
RMQ8FZ12FB178,5,16,23,0.695652174,TRUE,N,Y
RO3F3PNL5TA4H,5,21,23,0.913043478,TRUE,N,Y
ROP75V95SL907,5,15,23,0.652173913,TRUE,N,N
RM4KSGEOR7MU1,5,19,24,0.791666667,TRUE,Y,N
R1ALFPF4E14NY2,5,16,24,0.666666667,TRUE,N,N
R1AY90B57P53V3,5,23,24,0.958333333,TRUE,N,N
R1GOO0JSUD9PHB,5,14,24,0.583333333,TRUE,N,N
R1NU6BHCJKR2SW,5,18,24,0.75,TRUE,N,N
R1Q6D2IH4WK0ZH,5,19,24,0.791666667,TRUE,N,N
R1U1RQFMNRSKPV,5,15,24,0.625,TRUE,N,Y
R225JNZUQXHL44,5,20,24,0.833333333,TRUE,N,N
R292N1F7WDDJE3,5,15,24,0.625,TRUE,N,Y
R29HY1E6TQRE5J,5,15,24,0.625,TRUE,N,N
R2B8K0FML01M5D,5,19,24,0.791666667,TRUE,N,Y
R2C2GX4XJ8O26Q,5,14,24,0.583333333,TRUE,N,N
R2FQ6STCT2JQ7S,5,23,24,0.958333333,TRUE,N,Y
R2HM8YGEJ9505N,5,18,24,0.75,TRUE,N,N
R2I5DA2ZILIADW,5,20,24,0.833333333,TRUE,N,Y
R2IBGQRN26TJYA,5,17,24,0.708333333,TRUE,N,N
R2QGMNDENC4IQN,5,16,24,0.666666667,TRUE,N,N
R2S0YWVS9V34TO,5,20,24,0.833333333,TRUE,N,Y
R2S70KD2P8RD5M,5,21,24,0.875,TRUE,N,Y
R2SBTPZ2SHYXYD,5,20,24,0.833333333,TRUE,N,Y
R2TQKTJ806WU28,5,23,24,0.958333333,TRUE,N,N
R2UYYWJTYBWLHY,5,19,24,0.791666667,TRUE,N,N
R2VM4Z7M27XJCB,5,21,24,0.875,TRUE,N,Y
R2VX9W1CLJTNXO,5,14,24,0.583333333,TRUE,N,Y
R2XDNAS9NF5XDJ,5,20,24,0.833333333,TRUE,N,N
R2YU8USRBFREON,5,18,24,0.75,TRUE,N,Y
R318MS8M5VILII,5,18,24,0.75,TRUE,N,N
R33D2967G71QPT,5,13,24,0.541666667,TRUE,N,N
R35FDJ35CXST0R,5,20,24,0.833333333,TRUE,N,Y
R39319M5WPQFWF,5,24,24,1,TRUE,N,N
R3BWXSRN7FQGPA,5,20,24,0.833333333,TRUE,N,Y
R3CJA8AY371QBI,5,21,24,0.875,TRUE,N,Y
R3I22CI30MZUW3,5,20,24,0.833333333,TRUE,N,N
R3IU9LN96T0J8I,5,20,24,0.833333333,TRUE,N,Y
R3LX8T8FW3GFJJ,5,17,24,0.708333333,TRUE,N,Y
R3PCR9NSWULAET,5,14,24,0.583333333,TRUE,N,N
R3PVIU9R3LWULW,5,13,24,0.541666667,TRUE,N,N
R3PXEL30FYJCTW,5,16,24,0.666666667,TRUE,N,Y
R5V0PITOP2EKU,5,20,24,0.833333333,TRUE,N,N
R9VZ2O6R7SA5D,5,17,24,0.708333333,TRUE,N,Y
RB4J9EDV4TVHK,5,22,24,0.916666667,TRUE,N,Y
